year,month,day,dep_time,sched_dep_time,dep_delay,arr_time,sched_arr_time,arr_delay,carrier,flight,tailnum,origin,dest,air_time,distance,hour,minute,time_hour
2013,1,3,740,740,0,1034,1044,-10,UA,759,N470UA,EWR,TPA,158,997,7,40,2013-01-03T12:00:00Z
2013,1,3,815,817,-2,1048,1058,-10,DL,914,N356NW,LGA,DEN,222,1620,8,17,2013-01-03T13:00:00Z
2013,1,3,1153,1200,-7,1317,1315,2,MQ,4425,N818MQ,JFK,DCA,63,213,12,0,2013-01-03T17:00:00Z
2013,1,3,1956,1940,16,2304,2241,23,B6,381,N547JB,LGA,FLL,156,1076,19,40,2013-01-04T00:00:00Z
2013,1,3,1157,1140,17,1531,1450,41,DL,930,N335NB,LGA,FLL,175,1076,11,40,2013-01-03T16:00:00Z
2013,1,3,1153,1200,-7,1442,1545,-63,VX,25,N847VA,JFK,SFO,333,2586,12,0,2013-01-03T17:00:00Z
2013,1,3,2151,2135,16,230,224,6,B6,701,N279JB,JFK,SJU,196,1598,21,35,2013-01-04T02:00:00Z
2013,1,3,655,700,-5,815,809,6,US,2163,N952UW,LGA,DCA,46,214,7,0,2013-01-03T12:00:00Z
2013,1,3,1843,1828,15,2102,2026,36,EV,4410,N21537,EWR,CAE,105,602,18,28,2013-01-03T23:00:00Z
2013,1,3,1553,1600,-7,1915,1915,0,AA,565,N3BKAA,JFK,DFW,231,1391,16,0,2013-01-03T21:00:00Z
2013,1,3,1336,1340,-4,1641,1626,15,B6,525,N187JB,EWR,MCO,159,937,13,40,2013-01-03T18:00:00Z
2013,1,3,1452,1452,0,1702,1655,7,DL,1231,N926DL,LGA,DTW,85,502,14,52,2013-01-03T19:00:00Z
2013,1,3,1503,1221,162,1803,1555,128,UA,551,N835UA,EWR,SFO,320,2565,12,21,2013-01-03T17:00:00Z
2013,1,3,1728,1729,-1,1900,1902,-2,EV,4480,N12126,EWR,PIT,62,319,17,29,2013-01-03T22:00:00Z
2013,1,3,704,655,9,954,921,33,B6,117,N296JB,JFK,MSY,204,1182,6,55,2013-01-03T11:00:00Z
2013,1,3,1357,1350,7,1550,1545,5,MQ,4577,N516MQ,LGA,CLT,92,544,13,50,2013-01-03T18:00:00Z
2013,1,3,1650,1635,15,1924,1907,17,EV,4705,N11184,EWR,ATL,129,746,16,35,2013-01-03T21:00:00Z
2013,1,3,1816,1758,18,1940,1935,5,UA,627,N480UA,EWR,ORD,105,719,17,58,2013-01-03T22:00:00Z
2013,1,3,722,720,2,1004,1023,-19,UA,1724,N37255,EWR,PBI,147,1023,7,20,2013-01-03T12:00:00Z
2013,1,3,1312,1315,-3,1612,1605,7,B6,393,N508JB,LGA,MCO,151,950,13,15,2013-01-03T18:00:00Z
2013,1,3,1443,1357,46,1542,1507,35,EV,4434,N14920,EWR,MHT,40,209,13,57,2013-01-03T18:00:00Z
2013,1,3,1354,1324,30,1838,1810,28,B6,705,N536JB,JFK,SJU,200,1598,13,24,2013-01-03T18:00:00Z
2013,1,3,1554,1600,-6,1934,1930,4,DL,161,N374NW,JFK,MIA,183,1089,16,0,2013-01-03T21:00:00Z
2013,1,3,1027,1030,-3,1257,1252,5,DL,2343,N302NB,EWR,ATL,131,746,10,30,2013-01-03T15:00:00Z
2013,1,3,1916,1920,-4,2030,2100,-30,AA,359,N3AFAA,LGA,ORD,115,733,19,20,2013-01-04T00:00:00Z
2013,1,4,1138,1145,-7,1429,1453,-24,DL,1174,N357NB,LGA,PBI,147,1035,11,45,2013-01-04T16:00:00Z
2013,1,4,456,500,-4,631,650,-19,US,1030,N186US,EWR,CLT,77,529,5,0,2013-01-04T10:00:00Z
2013,1,4,1243,1245,-2,1546,1600,-14,AA,2253,N3FUAA,LGA,MIA,157,1096,12,45,2013-01-04T17:00:00Z
2013,1,4,1243,1300,-17,1432,1450,-18,MQ,4426,N734MQ,LGA,CMH,78,479,13,0,2013-01-04T18:00:00Z
2013,1,4,1238,1240,-2,1351,1405,-14,WN,564,N254WN,LGA,MKE,116,738,12,40,2013-01-04T17:00:00Z
2013,1,4,748,753,-5,944,1006,-22,DL,2119,N337NB,LGA,MSP,157,1020,7,53,2013-01-04T12:00:00Z
2013,1,4,1852,1855,-3,2351,2355,-4,AA,1613,N631AA,JFK,SJU,198,1598,18,55,2013-01-04T23:00:00Z
2013,1,4,1356,1359,-3,1653,1656,-3,UA,424,N540UA,EWR,PBI,158,1023,13,59,2013-01-04T18:00:00Z
2013,1,4,2040,2035,5,2146,2154,-8,UA,1243,N24212,EWR,BOS,41,200,20,35,2013-01-05T01:00:00Z
2013,1,4,628,630,-2,947,1018,-31,US,27,N508AY,JFK,PHX,281,2153,6,30,2013-01-04T11:00:00Z
2013,1,4,1055,1100,-5,1350,1420,-30,DL,1275,N3767,JFK,SLC,276,1990,11,0,2013-01-04T16:00:00Z
2013,1,4,2117,2118,-1,2221,2217,4,EV,4404,N15983,EWR,PVD,32,160,21,18,2013-01-05T02:00:00Z
2013,1,4,1058,1055,3,1346,1405,-19,AA,739,N3FMAA,LGA,DFW,210,1389,10,55,2013-01-04T15:00:00Z
2013,1,4,1458,1300,118,1651,1506,105,9E,3762,N8710A,EWR,CVG,94,569,13,0,2013-01-04T18:00:00Z
2013,1,4,807,810,-3,1016,1007,9,EV,4537,N10575,EWR,MEM,160,946,8,10,2013-01-04T13:00:00Z
2013,1,4,814,820,-6,1000,957,3,9E,3578,N8492C,JFK,BUF,60,301,8,20,2013-01-04T13:00:00Z
2013,1,4,1306,1300,6,1423,1421,2,EV,4158,N12564,EWR,RIC,59,277,13,0,2013-01-04T18:00:00Z
2013,1,4,1552,1510,42,1751,1710,41,MQ,4579,N508MQ,LGA,CLT,92,544,15,10,2013-01-04T20:00:00Z
2013,1,4,1027,1030,-3,1240,1252,-12,DL,2343,N325NB,EWR,ATL,118,746,10,30,2013-01-04T15:00:00Z
2013,1,5,1700,1700,0,1933,1943,-10,DL,1499,N590NW,LGA,ATL,117,762,17,0,2013-01-05T22:00:00Z
2013,1,5,1857,1859,-2,2205,2210,-5,UA,1174,N38446,EWR,FLL,163,1065,18,59,2013-01-05T23:00:00Z
2013,1,5,1140,1145,-5,1448,1453,-5,DL,1174,N344NB,LGA,PBI,156,1035,11,45,2013-01-05T16:00:00Z
2013,1,5,1040,1045,-5,1341,1358,-17,DL,1875,N964DL,LGA,TPA,154,1010,10,45,2013-01-05T15:00:00Z
2013,1,5,1846,1845,1,2153,2221,-28,DL,2190,N347NW,JFK,MIA,158,1089,18,45,2013-01-05T23:00:00Z
2013,1,5,615,615,0,737,745,-8,WN,122,N8306H,LGA,MDW,119,725,6,15,2013-01-05T11:00:00Z
2013,1,5,1151,1200,-9,1339,1356,-17,US,1443,N737US,JFK,CLT,90,541,12,0,2013-01-05T17:00:00Z
2013,1,5,2011,2005,6,2310,2315,-5,UA,386,N842UA,EWR,MIA,162,1085,20,5,2013-01-06T01:00:00Z
2013,1,5,945,945,0,1225,1247,-22,DL,1885,N338NW,LGA,MCO,142,950,9,45,2013-01-05T14:00:00Z
2013,1,5,659,700,-1,1002,1015,-13,AA,2279,N3BGAA,LGA,MIA,156,1096,7,0,2013-01-05T12:00:00Z
2013,1,5,907,910,-3,1035,1027,8,B6,56,N249JB,JFK,BTV,54,266,9,10,2013-01-05T14:00:00Z
2013,1,5,1656,1700,-4,1938,1955,-17,AA,257,N3AHAA,JFK,LAS,319,2248,17,0,2013-01-05T22:00:00Z
2013,1,5,1139,1114,25,1340,1315,25,DL,1031,N922DL,LGA,DTW,111,502,11,14,2013-01-05T16:00:00Z
2013,1,5,1714,1720,-6,2022,2040,-18,AA,1999,N639AA,EWR,MIA,166,1085,17,20,2013-01-05T22:00:00Z
2013,1,5,608,610,-2,902,915,-13,AA,1837,N3BRAA,LGA,MIA,151,1096,6,10,2013-01-05T11:00:00Z
2013,1,5,1335,1340,-5,1704,1715,-11,WN,3244,N216WR,EWR,PHX,307,2133,13,40,2013-01-05T18:00:00Z
2013,1,5,2129,2130,-1,16,18,-2,B6,199,N556JB,JFK,LAS,310,2248,21,30,2013-01-06T02:00:00Z
2013,1,5,1043,1043,0,1416,1340,36,UA,237,N669UA,EWR,IAH,227,1400,10,43,2013-01-05T15:00:00Z
2013,1,5,1919,1920,-1,2105,2119,-14,9E,3373,N929XJ,JFK,RDU,70,427,19,20,2013-01-06T00:00:00Z
2013,1,5,716,715,1,1028,1035,-7,AA,825,N3ANAA,JFK,FLL,156,1069,7,15,2013-01-05T12:00:00Z
2013,1,5,2120,2125,-5,2242,2240,2,MQ,4449,N839MQ,JFK,DCA,57,213,21,25,2013-01-06T02:00:00Z
2013,1,5,2022,2011,11,2329,2322,7,UA,1299,N77525,EWR,RSW,165,1068,20,11,2013-01-06T01:00:00Z
2013,1,5,1123,1130,-7,1410,1430,-20,DL,695,N979DL,JFK,MCO,146,944,11,30,2013-01-05T16:00:00Z
2013,1,5,728,730,-2,1127,1115,12,VX,11,N855VA,JFK,SFO,387,2586,7,30,2013-01-05T12:00:00Z
2013,1,5,1440,1450,-10,1623,1631,-8,9E,3318,N923XJ,JFK,BUF,60,301,14,50,2013-01-05T19:00:00Z
2013,1,5,1109,1115,-6,1400,1425,-25,AA,2099,N3FUAA,LGA,MIA,153,1096,11,15,2013-01-05T16:00:00Z
2013,1,5,630,633,-3,946,1004,-18,UA,726,N840UA,EWR,SFO,346,2565,6,33,2013-01-05T11:00:00Z
2013,1,6,1153,1125,28,1643,1618,25,UA,1283,N76254,EWR,SJU,201,1608,11,25,2013-01-06T16:00:00Z
2013,1,6,1506,1505,1,1809,1820,-11,AA,759,N3GUAA,LGA,DFW,213,1389,15,5,2013-01-06T20:00:00Z
2013,1,6,1000,1000,0,1325,1341,-16,DL,1765,N727TW,JFK,SFO,347,2586,10,0,2013-01-06T15:00:00Z
2013,1,6,1610,1615,-5,1749,1831,-42,DL,1619,N377NW,LGA,MSP,146,1020,16,15,2013-01-06T21:00:00Z
2013,1,6,2300,2245,15,14,2356,18,B6,608,N281JB,JFK,PWM,45,273,22,45,2013-01-07T03:00:00Z
2013,1,6,658,700,-2,836,835,1,UA,297,N463UA,EWR,ORD,119,719,7,0,2013-01-06T12:00:00Z
2013,1,6,1310,1258,12,1636,1610,26,B6,209,N633JB,JFK,LGB,357,2465,12,58,2013-01-06T17:00:00Z
2013,1,6,1804,1721,43,2034,1929,65,EV,4301,N11565,EWR,CVG,110,569,17,21,2013-01-06T22:00:00Z
2013,1,6,1722,1653,29,2018,1925,53,EV,4705,N15973,EWR,ATL,139,746,16,53,2013-01-06T21:00:00Z
2013,1,6,1316,1305,11,1600,1557,3,UA,1641,N79402,EWR,MCO,152,937,13,5,2013-01-06T18:00:00Z
2013,1,6,1746,1751,-5,2041,2103,-22,UA,535,N557UA,JFK,LAX,334,2475,17,51,2013-01-06T22:00:00Z
2013,1,6,1950,1929,21,2208,2135,33,EV,4536,N14923,EWR,CVG,104,569,19,29,2013-01-07T00:00:00Z
2013,1,6,1600,1600,0,1719,1734,-15,UA,562,N416UA,EWR,ORD,117,719,16,0,2013-01-06T21:00:00Z
2013,1,6,1218,1225,-7,1409,1410,-1,EV,4692,N16976,EWR,CMH,86,463,12,25,2013-01-06T17:00:00Z
2013,1,6,1532,1533,-1,1900,1857,3,B6,137,N618JB,JFK,RSW,170,1074,15,33,2013-01-06T20:00:00Z
2013,1,6,607,600,7,908,927,-19,UA,1737,N75429,EWR,LAX,333,2454,6,0,2013-01-06T11:00:00Z
2013,1,6,955,1000,-5,1250,1239,11,DL,1847,N664DN,LGA,ATL,129,762,10,0,2013-01-06T15:00:00Z
2013,1,6,1606,1550,16,1757,1739,18,B6,917,N284JB,JFK,ORD,121,740,15,50,2013-01-06T20:00:00Z
2013,1,6,1554,1600,-6,1733,1732,1,9E,3453,N930XJ,JFK,BOS,37,187,16,0,2013-01-06T21:00:00Z
2013,1,6,1021,1030,-9,1328,1355,-27,AA,179,N335AA,JFK,SFO,345,2586,10,30,2013-01-06T15:00:00Z
2013,1,6,1512,1504,8,1628,1640,-12,UA,279,N458UA,EWR,ORD,116,719,15,4,2013-01-06T20:00:00Z
2013,1,6,1317,1317,0,1414,1425,-11,EV,3829,N14991,EWR,BOS,39,200,13,17,2013-01-06T18:00:00Z
2013,1,6,1338,1345,-7,1655,1705,-10,AA,1073,N3GAAA,LGA,MIA,169,1096,13,45,2013-01-06T18:00:00Z
2013,1,6,1307,1305,2,1452,1450,2,EV,4306,N14953,LGA,CLE,77,419,13,5,2013-01-06T18:00:00Z
2013,1,7,704,700,4,944,1027,-43,B6,671,N652JB,JFK,LAX,313,2475,7,0,2013-01-07T12:00:00Z
2013,1,7,1358,1159,119,1628,1431,117,EV,4090,N13978,EWR,JAX,124,820,11,59,2013-01-07T16:00:00Z
2013,1,7,1559,1600,-1,1857,1912,-15,DL,4,N3751B,JFK,MCO,135,944,16,0,2013-01-07T21:00:00Z
2013,1,7,852,900,-8,1002,1020,-18,US,2120,N947UW,LGA,BOS,36,184,9,0,2013-01-07T14:00:00Z
2013,1,7,1112,1100,12,1433,1424,9,DL,2044,N912DL,LGA,MIA,150,1096,11,0,2013-01-07T16:00:00Z
2013,1,7,1456,1500,-4,1621,1639,-18,UA,685,N463UA,LGA,ORD,121,733,15,0,2013-01-07T20:00:00Z
2013,1,7,625,634,-9,928,935,-7,UA,772,N571UA,EWR,MIA,158,1085,6,34,2013-01-07T11:00:00Z
2013,1,7,1239,1245,-6,1533,1550,-17,AA,745,N3DPAA,LGA,DFW,196,1389,12,45,2013-01-07T17:00:00Z
2013,1,7,2021,1415,366,2332,1724,368,B6,377,N789JB,LGA,FLL,153,1076,14,15,2013-01-07T19:00:00Z
2013,1,7,657,700,-3,854,850,4,AA,305,N473AA,LGA,ORD,116,733,7,0,2013-01-07T12:00:00Z
2013,1,7,557,605,-8,752,805,-13,MQ,4401,N713MQ,LGA,DTW,88,502,6,5,2013-01-07T11:00:00Z
2013,1,7,1446,1357,49,1548,1507,41,EV,4434,N33182,EWR,MHT,37,209,13,57,2013-01-07T18:00:00Z
2013,1,7,1123,1125,-2,1258,1305,-7,AA,327,N3EFAA,LGA,ORD,119,733,11,25,2013-01-07T16:00:00Z
2013,1,7,1149,1155,-6,1421,1459,-38,B6,625,N348JB,JFK,HOU,199,1428,11,55,2013-01-07T16:00:00Z
2013,1,7,2107,2000,67,2301,2208,53,EV,3822,N11109,EWR,TYS,97,631,20,0,2013-01-08T01:00:00Z
2013,1,7,1042,900,102,1620,1530,50,HA,51,N385HA,JFK,HNL,612,4983,9,0,2013-01-07T14:00:00Z
2013,1,7,1346,1350,-4,1638,1715,-37,US,186,N669AW,EWR,PHX,276,2133,13,50,2013-01-07T18:00:00Z
2013,1,7,954,1000,-6,1249,1305,-16,B6,503,N645JB,EWR,FLL,162,1065,10,0,2013-01-07T15:00:00Z
2013,1,7,1507,1506,1,1622,1641,-19,UA,1580,N77261,EWR,ORD,114,719,15,6,2013-01-07T20:00:00Z
2013,1,7,1921,1925,-4,2235,2229,6,DL,1485,N996DL,LGA,MCO,136,950,19,25,2013-01-08T00:00:00Z
2013,1,7,633,636,-3,753,808,-15,EV,3839,N14562,EWR,BNA,110,748,6,36,2013-01-07T11:00:00Z
2013,1,7,755,759,-4,1018,1025,-7,UA,328,N592UA,LGA,DEN,227,1620,7,59,2013-01-07T12:00:00Z
2013,1,7,1529,1530,-1,1730,1734,-4,US,1665,N751UW,LGA,CLT,80,544,15,30,2013-01-07T20:00:00Z
2013,1,7,1850,1855,-5,2141,2210,-29,DL,2391,N370NW,JFK,TPA,144,1005,18,55,2013-01-07T23:00:00Z
2013,1,7,1722,1700,22,1852,1840,12,MQ,4323,N627MQ,JFK,ORF,51,290,17,0,2013-01-07T22:00:00Z
2013,1,7,1610,1616,-6,1807,1813,-6,EV,4092,N17196,EWR,DAY,81,533,16,16,2013-01-07T21:00:00Z
2013,1,7,1704,1710,-6,1845,1859,-14,EV,4202,N10575,EWR,STL,134,872,17,10,2013-01-07T22:00:00Z
2013,1,7,945,945,0,1106,1130,-24,AA,319,N4XNAA,LGA,ORD,115,733,9,45,2013-01-07T14:00:00Z
2013,1,7,1254,1300,-6,1339,1406,-27,9E,3638,N8847A,JFK,PHL,25,94,13,0,2013-01-07T18:00:00Z
2013,1,7,1807,1808,-1,2111,2106,5,UA,1269,N78509,EWR,PBI,144,1023,18,8,2013-01-07T23:00:00Z
2013,1,7,1455,1455,0,1623,1645,-22,AA,337,N4WJAA,LGA,ORD,120,733,14,55,2013-01-07T19:00:00Z
2013,1,7,1059,1100,-1,1347,1420,-33,DL,1275,N3752,JFK,SLC,269,1990,11,0,2013-01-07T16:00:00Z
2013,1,7,1026,1031,-5,1335,1403,-28,B6,641,N705JB,JFK,SFO,339,2586,10,31,2013-01-07T15:00:00Z
2013,1,7,845,850,-5,1027,1035,-8,MQ,4558,N711MQ,LGA,CLE,68,419,8,50,2013-01-07T13:00:00Z
2013,1,7,628,600,28,936,906,30,B6,125,N636JB,JFK,FLL,160,1069,6,0,2013-01-07T11:00:00Z
2013,1,7,946,955,-9,1211,1246,-35,UA,1597,N16703,EWR,EGE,248,1726,9,55,2013-01-07T14:00:00Z
2013,1,7,1547,1540,7,1859,1900,-1,UA,161,N14102,JFK,LAX,328,2475,15,40,2013-01-07T20:00:00Z
2013,1,8,1039,1045,-6,1235,1252,-17,DL,1573,N335NW,LGA,MEM,152,963,10,45,2013-01-08T15:00:00Z
2013,1,8,1307,959,188,1426,1122,184,EV,5736,N826AS,LGA,IAD,43,229,9,59,2013-01-08T14:00:00Z
2013,1,8,1843,1855,-12,2142,2142,0,DL,951,N1611B,JFK,ATL,126,760,18,55,2013-01-08T23:00:00Z
2013,1,8,1257,1259,-2,1459,1456,3,US,1459,N178US,LGA,CLT,87,544,12,59,2013-01-08T17:00:00Z
2013,1,8,1252,1255,-3,1607,1605,2,UA,1612,N24715,EWR,DFW,236,1372,12,55,2013-01-08T17:00:00Z
2013,1,8,1513,1452,21,1700,1655,5,DL,1231,N979DL,LGA,DTW,83,502,14,52,2013-01-08T19:00:00Z
2013,1,8,741,745,-4,1058,1125,-27,AA,59,N327AA,JFK,SFO,351,2586,7,45,2013-01-08T12:00:00Z
2013,1,8,855,900,-5,1022,1048,-26,UA,385,N811UA,EWR,ORD,120,719,9,0,2013-01-08T14:00:00Z
2013,1,8,1314,1215,59,1418,1328,50,EV,4087,N13566,EWR,PWM,48,284,12,15,2013-01-08T17:00:00Z
2013,1,8,1909,1915,-6,2221,2232,-11,DL,1729,N195DN,JFK,LAS,335,2248,19,15,2013-01-09T00:00:00Z
2013,1,8,1543,1545,-2,1815,1815,0,DL,1942,N341NB,EWR,ATL,126,746,15,45,2013-01-08T20:00:00Z
2013,1,8,1030,1030,0,1343,1415,-32,VX,23,N847VA,JFK,SFO,352,2586,10,30,2013-01-08T15:00:00Z
2013,1,8,554,600,-6,703,659,4,US,2161,N712US,LGA,DCA,42,214,6,0,2013-01-08T11:00:00Z
2013,1,8,1401,1405,-4,1651,1705,-14,B6,63,N508JB,JFK,TPA,152,1005,14,5,2013-01-08T19:00:00Z
2013,1,8,1713,1720,-7,1902,1905,-3,MQ,4479,N723MQ,LGA,RDU,78,431,17,20,2013-01-08T22:00:00Z
2013,1,8,1645,1645,0,1854,1900,-6,DL,1473,N318NB,LGA,MEM,152,963,16,45,2013-01-08T21:00:00Z
2013,1,8,1700,1700,0,1942,1955,-13,AA,257,N3JAAA,JFK,LAS,322,2248,17,0,2013-01-08T22:00:00Z
2013,1,8,629,635,-6,932,940,-8,AA,711,N3FSAA,LGA,DFW,218,1389,6,35,2013-01-08T11:00:00Z
2013,1,8,902,905,-3,1006,1023,-17,B6,56,N281JB,JFK,BTV,47,266,9,5,2013-01-08T14:00:00Z
2013,1,8,1546,1545,1,1851,1910,-19,AA,133,N324AA,JFK,LAX,341,2475,15,45,2013-01-08T20:00:00Z
2013,1,8,1248,1250,-2,1544,1550,-6,DL,1685,N371NW,LGA,MCO,141,950,12,50,2013-01-08T17:00:00Z
2013,1,8,1524,1530,-6,1712,1725,-13,MQ,4146,N603MQ,JFK,CMH,78,483,15,30,2013-01-08T20:00:00Z
2013,1,8,901,900,1,1504,1530,-26,HA,51,N389HA,JFK,HNL,645,4983,9,0,2013-01-08T14:00:00Z
2013,1,8,1240,1245,-5,1558,1600,-2,AA,2253,N3CFAA,LGA,MIA,157,1096,12,45,2013-01-08T17:00:00Z
2013,1,8,1627,1359,148,1729,1517,132,EV,5712,N826AS,JFK,IAD,44,228,13,59,2013-01-08T18:00:00Z
2013,1,8,1712,1719,-7,1929,1945,-16,UA,446,N506UA,LGA,DEN,226,1620,17,19,2013-01-08T22:00:00Z
